Question,Options
『図書館で』あ、それは持ち出し禁止の資料ですので、___。,"['a.お借りできません', 'b.お貸しできません', 'c.お借りしません', 'd.お貸しになりません']"
会社を___,"['a.出るようにしたら', 'b.出ている間', 'c.出ようとしたら', 'd.出ているうちに']"
「お宅のこうちゃん、薬飲まないの？」「そうなの。あの子、___、いやがって口を開けないよ。」,"['a.飲むことにしても', 'b.飲むつもりでも', 'c.飲ませたつもりでも', 'd.飲ませんようとしても']"
『美術館で』あの、お客様、どちらへ___。この奥は関係者以外は入れませんが。,"['a.行かれますか', 'b.参りますか', 'c.おられますか', 'd.見えますか']"
一度失敗しただけで___よ。もう少し頑張って。,"['a.諦めたわけがない', 'b.諦めたはずがない', 'c.諦めるわけではない', 'd.諦めるべきではない']"
今、週18時間もアルバイトをしている。もうこれ以上___ことにした。,"['a.増えない', 'b.増やさない', 'c.増やせない']"
これ、ねずみに見えますか。自分ではねこを___つもりですが’……。,"['a.かく', 'b.かいた', 'c.かこうという']"
この靴下はていねいに___つもりだが、まだ完全にはきれいになっていない。,"['a.洗濯する', 'b.洗濯される', 'c.洗濯した']"
あなたはそれでも___つもりですか。プロならきちんと仕事をしてください。,"['a.プロの', 'b.プロだと思う', 'c.プロらしい']"
3月3にうちでパーティーを開く___ので、ぜひおいでください。,"['a.ようになさいしました', 'b.ようにしておりました', 'c.ことにいたしました']"
ずっと___所に父が連れてくれた。とても楽しかった。,"['a. 行きたかった', 'b.行ってほしかった', 'c.行ってもらいたかった']"
説明がよく分かりませんでした。もう一度___ほしいのですが。,"['a.教えて', 'b.教えさせて', 'c.教わって']"
今すぐお金を___と言われても困ります。来週必ず払いますから、待ってください。,"['a.払う', 'b.払え', 'c.払える']"
『立て札』芝生に___。,"['a.入らないこと', 'b.入れないこと', 'c.入らないことだ']"
ちょっと調べたいことがあるんですが、このパソコンを___。,"['a.使ったらどうですか', 'b.使うのがどうですか', 'c.使てもいいですか']"
すみません。このピアノ練習室をわたしにも___のですが。,"['a.使ってもらいたい', 'b.使われるといい', 'c.使わせてほしい']"
いいレストランで食事を___、そんなかっこうではだめだろう。,"['a.しては', 'b.するなら', 'c.するうちに', 'd.したら']"
あれ、その上着はちょっと大きすぎる。きのう買う前に___なあ。,"['a.着てみたほうがいい', 'b.着てみたらいい', 'c.着てみてよかった', 'd.着てみればよかった']"
国の大学で日本留学生と知り合った___、日本に興味を持った。,"['a.ことから', 'b.とおりに', 'c.ついでに', 'd.のだから']"
強いゲームではないが、___とは限らない。,"['a.絶対に勝てない', 'b.必ず勝てる', 'c.絶対に負けない']"
山田さんの住所はここに書いてあるとは___が、10年前のです。,"['a.書きました', 'b.書いています', 'c.書いてあります']"
少し寒いことは寒いが、___。,"['a.暖房は必要ない', 'b.暖房を入れよう', 'c.暖房を入れた']"
アンケートの結果から、ほとんど人がこの商品に満足している___。,"['a.と言われている', 'b.とのことだ', 'c.ことがわかる']"
本屋で読みたい本を___待ち合わせの時間を過ぎてしまった。,"['a.探している間', 'b.探しているうちに', 'c.探しながら', 'd.探しから']"
日本で富士山ぐらい___山はないと思う。,"['a.きれいな', 'b.高い', 'c.ほかの']"
___くらいなら、今の生活レベルでがまんしよう。,"['a.いい仕事がない', 'b.仕事が欲しい', 'c.きつい仕事をする']"
仕事がなくなる___つらいことはない。,"['a.くらい', 'b.くらいなら', 'c.くらいでは']"
遠慮しながら人手伝いを頼む___、自分でやってしまったほうがいい。,"['a.一方で', 'b.というより', 'c.くらいなら']"
林さんのお子さんにあいさつすると、返事をする___いつもにこにこ笑う。,"['a.かわりに', 'b.反面', 'c.のに対して']"
学校を休んで遊んでいる___友達のお母さんに見られた。,"['a.ところで', 'b.ところに', 'c.ところを']"
刺身は___新鮮なほど美味しい。,"['a.新鮮だと', 'b.新鮮なら', 'c.新鮮でなければ']"
先生の説明を聞いている___だんだんわかってきた。,"['a.うちに', 'b.たびに', 'c.ところを']"
今朝___喉が痛かった。,"['a.起きたとき', 'b.起きたついでに', 'c.起きてるうちに']"
祖父は年を取って、最近___なかった。今日もかぎの場所を忘れた。,"['a.忘れかけに', 'b.忘れにくく', 'c.忘れっぽく']"
この店には高い品物___並んでいる。,"['a.ぐらい', 'b.なんか', 'c.しか', 'd.ばかり']"
机の上に本がたくさん重ねてあって、今にも___。,"['a.崩れているようだ', 'b.崩そうだ', 'c.崩れてしまった', 'd.崩れたら大変だ']"
